;Veroeffentlichungs-Nummer;Erfinder;Anmelder/Inhaber
1669;US000010671712B1;MORTENSEN MALAND KEITH, US;USAA, US
1670;US000010671712B1;NAGELBERG ALEXANDER BENETTO, US;USAA, US
1671;US000010671712B1;TRIPATHY SHANTANU K, US;USAA, US
1672;US000010659236B2;HONG JAY WU, KR;COINPLUG INC, KR
1673;US000010659236B2;KIM HEE SOON, KR;COINPLUG INC, KR
1674;US000010659236B2;RA SEUNG IL, KR;COINPLUG INC, KR
1675;US000010659236B2;UHR JOON SUN, KR;COINPLUG INC, KR
1676;US000010659217B2;PURUSHOTHAMAN SASIDHAR, IN;BANK OF AMERICA, US
1677;US000010659217B2;RAMASAMY SUKI, IN;BANK OF AMERICA, US
1678;US000010643139B2;ACHARYA AYAN, US;COGNITIVE SCALE INC, US
1679;US000010643139B2;CHAWLA NEERAJ, US;COGNITIVE SCALE INC, US
1680;US000010643139B2;LINDSLEY HANNAH R, US;COGNITIVE SCALE INC, US
1681;US000010643139B2;RANATUNGA DILUM, US;COGNITIVE SCALE INC, US
1682;US000010643139B2;RICAURTE ANDREA M, US;COGNITIVE SCALE INC, US
1683;US000010643139B2;SANCHEZ MATTHEW, US;COGNITIVE SCALE INC, US
1684;US000010637644B1;FARIVAR REZA, US;CAPITAL ONE SERVICES LLC, US
1685;US000010637644B1;GOODSITT JEREMY EDWARD, US;CAPITAL ONE SERVICES LLC, US
1686;US000010637644B1;WALTERS AUSTIN GRANT, US;CAPITAL ONE SERVICES LLC, US
1687;US000010636033B2;JOHNSRUD DARRELL, US;BANK OF AMERICA, US
1688;US000010636033B2;KURIAN MANU JACOB, US;BANK OF AMERICA, US
1689;US000010636033B2;WUEHLER MICHAEL, US;BANK OF AMERICA, US
1690;US000010628491B2;KNUSZKA RICHARD, GB;COGNITIVE SCALE INC, US
1691;US000010628491B2;SANCHEZ MATTHEW, US;COGNITIVE SCALE INC, US
1692;US000010628491B2;SAXENA MANOJ, US;COGNITIVE SCALE INC, US
1693;US000010623190B2;HELD MATHIAS, DE;SAP SE, DE
1694;US000010623190B2;KUHNERT DENNIS, DE;SAP SE, DE
1695;US000010623190B2;SCHERRER ARNE, DE;SAP SE, DE
1696;US000010621511B2;KNUSZKA RICHARD, GB;COGNITIVE SCALE INC, US
1697;US000010621511B2;SANCHEZ MATTHEW, US;COGNITIVE SCALE INC, US
1698;US000010621511B2;SAXENA MANOJ, US;COGNITIVE SCALE INC, US
1699;US000010621510B2;KNUSZKA RICHARD, GB;COGNITIVE SCALE INC, US
1700;US000010621510B2;SANCHEZ MATTHEW, US;COGNITIVE SCALE INC, US
1701;US000010621510B2;SAXENA MANOJ, US;COGNITIVE SCALE INC, US
1702;US000010621233B2;KNUSZKA RICHARD, GB;COGNITIVE SCALE INC, US
1703;US000010621233B2;SANCHEZ MATTHEW, US;COGNITIVE SCALE INC, US
1704;US000010621233B2;SAXENA MANOJ, US;COGNITIVE SCALE INC, US
1705;US000010615970B1;GRIFFIN PHILLIP H, US;WELLS FARGO BANK NA, US
1706;US000010615970B1;STAPLETON JEFFREY J, US;WELLS FARGO BANK NA, US
1707;US000010607297B2;FRANASZEK PETER A, US;IBM, US
1708;US000010607297B2;FRANCESCHINI MICHELE, US;IBM, US
1709;US000010607297B2;JAGMOHAN ASHISH, US;IBM, US
1710;US000010607297B2;WEGMAN MARK N, US;IBM, US
1711;US000010603578B2;PICKOVER CLIFFORD A, US;IBM, US
1712;US000010603578B2;WELDEMARIAM KOMMINIST, KE;IBM, US
1713;US000010588175B1;EMMOTT KEVAN, US;CAPITAL ONE SERVICES LLC, US
1714;US000010588175B1;ILINCIC RAJKO, US;CAPITAL ONE SERVICES LLC, US
1715;US000010588175B1;JOHNSON MOLLY, US;CAPITAL ONE SERVICES LLC, US
1716;US000010588175B1;KOEPPEL ADAM R, US;CAPITAL ONE SERVICES LLC, US
1717;US000010588175B1;LOCKE TYLER, US;CAPITAL ONE SERVICES LLC, US
1718;US000010588175B1;ZARAKAS JAMES, US;CAPITAL ONE SERVICES LLC, US
1719;US000010580100B2;AHMED MANSOOR, US;CHICAGO MERCANTILE EXCHANGE INC, US
1720;US000010580100B2;FREEMAN ELIZABETH, US;CHICAGO MERCANTILE EXCHANGE INC, US
1721;US000010580100B2;PIERCE RYAN, US;CHICAGO MERCANTILE EXCHANGE INC, US
1722;US000010580100B2;WOZNIAK ANGELA, US;CHICAGO MERCANTILE EXCHANGE INC, US
1723;US000010567156B2;CASTINADO JOSEPH, US;BANK OF AMERICA, US
1724;US000010567156B2;CHECCO JOHN C, US;BANK OF AMERICA, US
1725;US000010567156B2;LAWRENCE PATRICK NICHOLAS, US;BANK OF AMERICA, US
1726;US000010565645B1;KURANI ASHISH B, US;WELLS FARGO BANK NA, US
1727;US000010565588B2;ANDROULAKI ELLI, CH;IBM, US
1728;US000010565588B2;GUSAT MIRCEA, CH;IBM, US
1729;US000010565588B2;KOLTSIDAS IOANNIS, CH;IBM, US
1730;US000010565588B2;SOIMU MARIA, CH;IBM, US
1731;US000010560268B2;ESHWAR BHAVANI K, IN;IBM, US
1732;US000010560268B2;MANJUNATH SUBRAMANIAN B, IN;IBM, US
1733;US000010560268B2;NAGANNA SOMA S, IN;IBM, US
1734;US000010560268B2;PALANIAPPAN SUBRAMANIAN, IN;IBM, US
1735;US000010554421B2;HONG JAY WU, KR;COINPLUG INC, KR
1736;US000010554421B2;KIM HEE SOON, KR;COINPLUG INC, KR
1737;US000010554421B2;RA SEUNG IL, KR;COINPLUG INC, KR
1738;US000010554421B2;UHR JOON SUN, KR;COINPLUG INC, KR
1739;US000010552381B2;BASTIDE PAUL R, US;IBM, US
1740;US000010552381B2;DUNNE JONATHAN, IE;IBM, US
1741;US000010552381B2;HARPUR LIAM, IE;IBM, US
1742;US000010552381B2;LOREDO ROBERT E, US;IBM, US
1743;US000010547457B1;DUCCINI DAVID V, US;WELLS FARGO BANK NA, US
1744;US000010547457B1;GRIFFIN PHILLIP H, US;WELLS FARGO BANK NA, US
1745;US000010547457B1;STAPLETON JEFFREY J, US;WELLS FARGO BANK NA, US
1746;US000010540342B2;DASARI SRINIVAS, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1747;US000010540342B2;MOUDGAL L N, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1748;US000010540342B2;MUTHUSAMY VENKAT, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1749;US000010540342B2;WIRSIG MIKE, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1750;US000010521973B2;BEKAS KONSTANTINOS, CH;IBM, US
1751;US000010521973B2;RUFLI MARTIN, CH;IBM, US
1752;US000010521196B1;CAO LIN, SG;SAP SE, DE
1753;US000010521196B1;WANG QIU SHI, SG;SAP SE, DE
1754;US000010504178B2;AHMED MANSOOR, US;CHICAGO MERCANTILE EXCHANGE INC, US
1755;US000010504178B2;PIERCE RYAN, US;CHICAGO MERCANTILE EXCHANGE INC, US
1756;US000010504178B2;RO SANDRA, GB;CHICAGO MERCANTILE EXCHANGE INC, US
1757;US000010498808B2;PURUSHOTHAMAN SASIDHAR, IN;BANK OF AMERICA, US
1758;US000010498808B2;RAMASAMY SUKI, IN;BANK OF AMERICA, US
1759;US000010477024B1;JAYAPALAN VIJAY, US;USAA, US
1760;US000010477024B1;SMITH ERIC J, US;USAA, US
1761;US000010477024B1;TENEYCK JR  JOHN MCCHESNEY, US;USAA, US
1762;US000010477024B1;YARBROUGH GREGORY, US;USAA, US
1763;US000010477014B1;JAYAPALAN VIJAY, US;USAA, US
1764;US000010477014B1;SMITH ERIC J, US;USAA, US
1765;US000010477014B1;TENEYCK JR  JOHN MCCHESNEY, US;USAA, US
1766;US000010477014B1;YARBROUGH GREGORY, US;USAA, US
1767;US000010476665B1;GRIFFIN PHILLIP H, US;WELLS FARGO BANK NA, US
1768;US000010476665B1;STAPLETON JEFFREY J, US;WELLS FARGO BANK NA, US
1769;US000010475030B2;CASTINADO JOSEPH BENJAMIN, US;BANK OF AMERICA, US
1770;US000010475030B2;RONCA JAMES GREGORY, US;BANK OF AMERICA, US
1771;US000010469487B1;GRIFFIN PHILLIP H, US;WELLS FARGO BANK NA, US
1772;US000010469487B1;STAPLETON JEFFREY J, US;WELLS FARGO BANK NA, US
1773;US000010453233B2;BIRADAR KEDAR, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1774;US000010453233B2;RATHI RAJU, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1775;US000010453233B2;UPADHYAY KUNAL, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1776;US000010453233B2;VUNNAM PURUSHOTHAM, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1777;US000010453233B2;YADAV DIGVIJAY, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1778;US000010445571B1;GAETA MICHAEL JOSEPH, US;USAA, US
1779;US000010445571B1;PRASAD BHARAT, US;USAA, US
1780;US000010445571B1;RODRIGUEZ SALVADOR, US;USAA, US
1781;US000010445571B1;WEBSTER JASON ALGERNON, US;USAA, US
1782;US000010445302B2;CHILDRESS RHONDA L, US;IBM, US
1783;US000010445302B2;GUPTA RAHUL, US;IBM, US
1784;US000010445302B2;KUMHYR DAVID B, US;IBM, US
1785;US000010445302B2;MUKHERJEE MAHARAJ, US;IBM, US
1786;US000010440180B1;CHADHA BIPIN, US;USAA, US
1787;US000010440180B1;JAYAPALAN VIJAY, US;USAA, US
1788;US000010440180B1;SMITH ERIC J, US;USAA, US
1789;US000010440180B1;TENEYCK JR  JOHN MCCHESNEY, US;USAA, US
1790;US000010440180B1;YARBROUGH GREGORY, US;USAA, US
1791;US000010438209B2;KURIAN MANU JACOB, US;BANK OF AMERICA, US
1792;US000010438170B2;KOZLOSKI JAMES R, US;IBM, US
1793;US000010438170B2;PICKOVER CLIFFORD A, US;IBM, US
1794;US000010438170B2;WELDEMARIAM KOMMINIST, KE;IBM, US
1795;US000010425399B2;GEAGAN III JOHN B, US;IBM, US
1796;US000010425399B2;KRAVITZ DAVID W, US;IBM, US
1797;US000010425399B2;MASINI DIEGO A, US;IBM, US
1798;US000010425399B2;PONCELEON DULCE B, US;IBM, US
1799;US000010425399B2;SMITH BRIAN K, US;IBM, US
1800;US000010419209B1;GRIFFIN PHILLIP H, US;WELLS FARGO BANK NA, US
1801;US000010419209B1;STAPLETON JEFFREY J, US;WELLS FARGO BANK NA, US
1802;US000010409783B1;MARTIN ROBERT, US;CAPITAL ONE SERVICES LLC, US
1803;US000010409783B1;MILLER WALTER, US;CAPITAL ONE SERVICES LLC, US
1804;US000010409783B1;SMITH BRADLEY, US;CAPITAL ONE SERVICES LLC, US
1805;US000010404471B1;GRIFFIN PHILLIP H, US;WELLS FARGO BANK NA, US
1806;US000010404471B1;STAPLETON JEFFREY J, US;WELLS FARGO BANK NA, US
1807;US000010396985B1;MAHONEY NATHAN, US;USAA, US
1808;US000010396985B1;NAGELBERG ALEXANDER B, US;USAA, US
1809;US000010389749B2;KOZLOSKI JAMES R, US;IBM, US
1810;US000010389749B2;PICKOVER CLIFFORD A, US;IBM, US
1811;US000010389749B2;WELDEMARIAM KOMMINIST, KE;IBM, US
1812;US000010380613B1;LIU ZHE, US;CAPITAL ONE SERVICES LLC, US
1813;US000010380560B2;JAYACHANDRAN PRAVEEN, IN;IBM, US
1814;US000010380560B2;KODESWARAN PALANIVEL A, IN;IBM, US
1815;US000010380560B2;SEN SAYANDEEP, IN;IBM, US
1816;US000010365922B1;CAO LIN, SG;SAP SE, DE
1817;US000010365922B1;WANG QIU SHI, SG;SAP SE, DE
1818;US000010361869B2;GORMAN MICHAEL A, US;IBM, US
1819;US000010360449B2;CHANDRASHEKAR SHIVAKUMAR, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1820;US000010360449B2;RATHI RAJU, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1821;US000010360449B2;TAYAL YOGESH, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1822;US000010360449B2;UPADHYAY KUNAL, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1823;US000010360449B2;VUNNAM PURUSHOTHAM, IN;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
1824;US000010355869B2;BISTI JEFFREY E, US;IBM, US
1825;US000010354653B1;LEGGETT JUSTIN, US;USAA, US
1826;US000010354653B1;MAHONEY NATHAN, US;USAA, US
1827;US000010354653B1;SCHULZ MATTHEW BARRY, US;USAA, US
1828;US000010354653B1;VIJAYVERGIA GUNJAN C, US;USAA, US
1829;US000010348487B2;BERTSCHE RYAN, US;IBM, US
1830;US000010348487B2;BISTI JEFFREY, US;IBM, US
1831;US000010348487B2;JUDKA DANIELLE, US;IBM, US
1832;US000010348487B2;SICONOLFI PHILIP, US;IBM, US
1833;US000010346406B2;BOOZ DAVID A, US;IBM, US
1834;US000010346406B2;DYE JONATHAN D, US;IBM, US
1835;US000010346406B2;DYE MICHAEL J, US;IBM, US
1836;US000010346406B2;FORD EGAN F, US;IBM, US
1837;US000010333721B2;HONG JAY WU, KR;COINPLUG INC, KR
1838;US000010333721B2;SONG JOO HAN, KR;COINPLUG INC, KR
1839;US000010333721B2;UHR JOON SUN, KR;COINPLUG INC, KR
1840;US000010318979B2;FRANK BRANDON Z, US;IBM, US
1841;US000010318979B2;LATONE JOSEPH A, US;IBM, US
1842;US000010318938B2;JOHNSRUD DARRELL, US;BANK OF AMERICA, US
1843;US000010318938B2;KURIAN MANU JACOB, US;BANK OF AMERICA, US
1844;US000010318938B2;WUEHLER MICHAEL, US;BANK OF AMERICA, US
1845;US000010277561B2;COX MICHAEL C, US;IBM, US
1846;US000010277561B2;DILLENBERGER DONNA N, US;IBM, US
1847;US000010277561B2;JOSTEN JEFFREY W, US;IBM, US
1848;US000010277561B2;PICKEL JAMES W, US;IBM, US
1849;US000010277400B1;GRIFFIN PHILLIP H, US;WELLS FARGO BANK NA, US
1850;US000010277400B1;STAPLETON JEFF J, US;WELLS FARGO BANK NA, US
1851;US000010268528B2;FURUICHI SANEHIRO, JP;IBM, US
1852;US000010268528B2;IWASAKI NORIE, JP;IBM, US
1853;US000010268528B2;TADA MASAMI, JP;IBM, US
1854;US000010268528B2;TASHIRO TAKAHITO, JP;IBM, US
1855;US000010257270B2;COHN JOHN M, US;IBM, US
1856;US000010257270B2;FINN PETER G, CA;IBM, US
1857;US000010257270B2;NAIR SUMABALA P, US;IBM, US
1858;US000010257270B2;PANIKKAR SANJAY B, IN;IBM, US
1859;US000010257270B2;PURESWARAN VEENA S, US;IBM, US
1860;US000010178105B2;CASTINADO JOSEPH BENJAMIN, US;BANK OF AMERICA, US
1861;US000010178105B2;KURIAN MANU JACOB, US;BANK OF AMERICA, US
1862;US000010169614B2;BRADY SIMON J, IE;IBM, US
1863;US000010169614B2;BRYLLERT JONAS E, IE;IBM, US
1864;US000010169614B2;DELANEY JOHN V, IE;IBM, US
1865;US000010169614B2;HOLLYWOOD BARRY, IE;IBM, US
1866;US000010169614B2;WIDMAYER GERHARD H, DE;IBM, US
1867;US000010169614B2;ZOLOTOW CLEA A, US;IBM, US
1868;US000010158527B2;ANDERSON SHEEHAN, US;IBM, US
1869;US000010158527B2;CHRISTIDIS KONSTANTINOS, US;IBM, US
1870;US000010158527B2;DERBAKOVA ANNA D, US;IBM, US
1871;US000010158527B2;GAUR NITIN, US;IBM, US
1872;US000010157078B2;CURTIS DONALD STEVE, US;BANK OF AMERICA, US
1873;US000010147284B2;AZEEZ RAFMAN, US;BANK OF AMERICA, US
1874;US000010147284B2;BARRON RICHARD E, US;BANK OF AMERICA, US
1875;US000010147284B2;FLOREZ SAUL, US;BANK OF AMERICA, US
1876;US000010147284B2;FRANKEL YAIR, US;BANK OF AMERICA, US
1877;US000010147284B2;LEE JISOO, US;BANK OF AMERICA, US
1878;US000010142333B1;GRIFFIN PHILLIP H, US;WELLS FARGO BANK NA, US
1879;US000010142333B1;STAPLETON JEFFREY J, US;WELLS FARGO BANK NA, US
1880;US000010140470B2;JOHNSRUD DARRELL, US;BANK OF AMERICA, US
1881;US000010140470B2;KURIAN MANU JACOB, US;BANK OF AMERICA, US
1882;US000010135609B2;BIBERA WYNDELL LOVE, PH;IBM, US
1883;US000010135609B2;FAELDON JAMES ARNOLD A, PH;IBM, US
1884;US000010135609B2;PANTOLA ALEXIS V, PH;IBM, US
1885;US000010116633B2;ADAMS AMANDA J, GB;BANK OF AMERICA, US
1886;US000010079881B2;COHN JOHN M, US;IBM, US
1887;US000010079881B2;NAIR SUMABALA P, US;IBM, US
1888;US000010079881B2;PANIKKAR SANJAY B, IN;IBM, US
1889;US000010079881B2;PURESWARAN VEENA S, US;IBM, US
1890;US000009979718B2;KURIAN MANU JACOB, US;BANK OF AMERICA, US
1891;US000009934138B1;BACHE VIJAY KUMAR ANANTHAPUR, IN;IBM, US
1892;US000009934138B1;BERA JHILAM, IN;IBM, US
1893;US000009934138B1;KUMAR ARVIND, IN;IBM, US
1894;US000009934138B1;SAHOO BIDHU, IN;IBM, US
1895;US000009928290B2;TIELL STEVEN C, US;ACCENTURE GLOBAL SOLUTIONS LTD, IE
1896;US000009825931B2;JOHNSRUD DARRELL, US;BANK OF AMERICA, US
1897;US000009825931B2;KURIAN MANU JACOB, US;BANK OF AMERICA, US
1898;US000009825931B2;WUEHLER MICHAEL, US;BANK OF AMERICA, US
1899;US000009824031B1;GANTI RAGHU K, US;IBM, US
1900;US000009824031B1;SRIVATSA MUDHAKAR, US;IBM, US
1901;US000009824031B1;VERMA DINESH C, US;IBM, US
1902;WO002021072324A1;BRUGMAN LOUIS, US;TOYOTA MOTOR NORTH AMERICA INC, US
1903;WO002021072324A1;KHOO WILSON-BOON, US;TOYOTA MOTOR NORTH AMERICA INC, US
1904;WO002021072324A1;PAREKH DEVANG, US;TOYOTA MOTOR NORTH AMERICA INC, US
1905;WO002021062258A1;AGRAWAL SHASHANK, US;VISA INT SERVICE ASS, US
1906;WO002021062258A1;RAGHURAMAN SRINIVASAN, US;VISA INT SERVICE ASS, US
1907;WO002021059054A1;WRIGHT CRAIG STEVEN, GB;NCHAIN HOLDINGS LTD, AG
1908;WO002021059054A1;ZHANG WEI, GB;NCHAIN HOLDINGS LTD, AG
1909;WO002021055546A1;KATONA ALES, US;COINBASE INC, US
1910;WO002021055546A1;NABOKA MAKSYM, US;COINBASE INC, US
1911;WO002021055546A1;SCRIVNER ERIC, US;COINBASE INC, US
1912;WO002021055120A1;DAVIS STEVEN C, US;MASTERCARD INTERNATIONAL INC, US
1913;WO002021055120A1;YADAV RAKESH, US;MASTERCARD INTERNATIONAL INC, US
1914;WO002021050929A1;OZDAYI MUSTAFA, US;VISA INT SERVICE ASS, US
1915;WO002021050929A1;ZAMANI MAHDI, US;VISA INT SERVICE ASS, US
1916;WO002021045829A1;CHEN QI, US;MICROSOFT TECHNOLOGY LICENSING LLC, US
1917;WO002021045829A1;SETTY SRINATH, US;MICROSOFT TECHNOLOGY LICENSING LLC, US
1918;WO002021045829A1;ZHOU LIDONG, US;MICROSOFT TECHNOLOGY LICENSING LLC, US
1919;WO002021034576A1;GADDAM SIVANARAYANA, US;VISA INT SERVICE ASS, US
1920;WO002021034576A1;KUMARESAN RANJIT, US;VISA INT SERVICE ASS, US
1921;WO002021034576A1;MINAEI BIDGOLI MOHAMMAD MOHSEN, US;VISA INT SERVICE ASS, US
1922;WO002021034576A1;ZAMANI MAHDI, US;VISA INT SERVICE ASS, US
1923;WO002021016195A1;GADDAM SIVANARAYANA, US;VISA INT SERVICE ASS, US
1924;WO002021016195A1;LUYKX ATUL, US;VISA INT SERVICE ASS, US
1925;WO002021016195A1;SHEFFIELD CUY, US;VISA INT SERVICE ASS, US
1926;WO002021013804A1;HUNG KOO CHEE, DE;SIEMENS AG, DE
1927;WO002021013804A1;HÖFIG KAI, DE;SIEMENS AG, DE
1928;WO002021013804A1;ROTHBAUER STEFAN, DE;SIEMENS AG, DE
1929;WO002021013804A1;SCHRÖCK SEBASTIAN, DE;SIEMENS AG, DE
1930;WO002021013804A1;VORDERER MARIAN MARCEL, DE;SIEMENS AG, DE
1931;WO002021013804A1;ZELLER MARC, DE;SIEMENS AG, DE
1932;WO002021011127A1;FLINTER STEPHEN, IE;MASTERCARD INTERNATIONAL INC, US
1933;WO002021011127A1;INGRAM KARL, IE;MASTERCARD INTERNATIONAL INC, US
1934;WO002021011127A1;LYSAGHT HOLLY, IE;MASTERCARD INTERNATIONAL INC, US
1935;WO002021011127A1;PINKHAM JUSTIN, US;MASTERCARD INTERNATIONAL INC, US
1936;WO002021011127A1;TANG HAO, SG;MASTERCARD INTERNATIONAL INC, US
1937;WO002021011082A1;CHANDRAN NISHANTH, US;MICROSOFT TECHNOLOGY LICENSING LLC, US
1938;WO002021011082A1;GUPTA DIVYA, US;MICROSOFT TECHNOLOGY LICENSING LLC, US
1939;WO002021011082A1;LOKAM SATYANARAYANA V, US;MICROSOFT TECHNOLOGY LICENSING LLC, US
1940;WO002021011082A1;MEHRA APURV, US;MICROSOFT TECHNOLOGY LICENSING LLC, US
1941;WO002021011082A1;SATIJA SAMBHAV, US;MICROSOFT TECHNOLOGY LICENSING LLC, US
1942;WO002021011082A1;SINGANAMALLA SUDHEESH, US;MICROSOFT TECHNOLOGY LICENSING LLC, US
1943;WO002021011082A1;SIVATHANU MUTHIAN, US;MICROSOFT TECHNOLOGY LICENSING LLC, US
1944;WO002020249572A1;DAVI LUCAS, DE;NEC LABORATORIES EUROPE GMBH, DE
1945;WO002020249572A1;KARAME GHASSAN, DE;NEC LABORATORIES EUROPE GMBH, DE
1946;WO002020249572A1;LI WENTING, DE;NEC LABORATORIES EUROPE GMBH, DE
1947;WO002020249572A1;RODLER MICHAEL, DE;NEC LABORATORIES EUROPE GMBH, DE
1948;WO002020236560A1;BARTA DEBORAH, US;MASTERCARD INTERNATIONAL INC, US
1949;WO002020236560A1;BYRNE ROB, IE;MASTERCARD INTERNATIONAL INC, US
1950;WO002020236560A1;COLLINS ROBERT, IE;MASTERCARD INTERNATIONAL INC, US
1951;WO002020236560A1;DAVIS STEVEN, US;MASTERCARD INTERNATIONAL INC, US
1952;WO002020236560A1;NUNES DA SILVA CARVALHO LEANDRO, US;MASTERCARD INTERNATIONAL INC, US
1953;WO002020231525A1;DINERSTEIN YOSEF, US;MICROSOFT TECHNOLOGY LICENSING LLC, US
1954;WO002020231525A1;PODDAR ASHWARYA, US;MICROSOFT TECHNOLOGY LICENSING LLC, US
1955;WO002020231525A1;TURGMAN AMI, US;MICROSOFT TECHNOLOGY LICENSING LLC, US
1956;WO002020226800A1;CIGNAVITCH GREGORY PHILIP, US;MICROSOFT TECHNOLOGY LICENSING LLC, US
1957;WO002020226800A1;GRAY JOHN MARLEY, US;MICROSOFT TECHNOLOGY LICENSING LLC, US
1958;WO002020226800A1;LEE BRENDA YACHU, US;MICROSOFT TECHNOLOGY LICENSING LLC, US
1959;WO002020226800A1;MADHURAM SUPRIYA, US;MICROSOFT TECHNOLOGY LICENSING LLC, US
1960;WO002020226800A1;PATEL NAYANA SINGH, US;MICROSOFT TECHNOLOGY LICENSING LLC, US
1961;WO002020223416A1;ERICSON BRADEN CHRISTOPHER, US;PAYPAL INC, US
1962;WO002020223416A1;WARDMAN BRADLEY, US;PAYPAL INC, US
1963;WO002020223416A1;YADAV MEETHIL VIJAY, US;PAYPAL INC, US
1964;WO002020222777A1;GADDAM SIVANARAYANA, US;VISA INT SERVICE ASS, US
1965;WO002020221536A1;GALABOV FILIP, DE;SIEMENS AG, DE
1966;WO002020221536A1;GRAICHEN ANDREAS, SE;SIEMENS AG, DE
1967;WO002020221536A1;LINDSTAM JOHAN, SE;SIEMENS AG, DE
1968;WO002020221536A1;OTTE CLEMENS, DE;SIEMENS AG, DE
1969;WO002020221536A1;REITINGER AXEL, DE;SIEMENS AG, DE
1970;WO002020212766A1;DICKHERBER RYAN, US;NCHAIN HOLDINGS LTD, AG
1971;WO002020212766A1;MEE ANDY, GB;NCHAIN HOLDINGS LTD, AG
1972;WO002020197640A1;BHAMIDIPATI VENKATA, US;EBAY INC, US
1973;WO002020197640A1;CHAMORRO DEREK, US;EBAY INC, US
1974;WO002020197640A1;CHAN MICHAEL, US;EBAY INC, US
1975;WO002020197640A1;FREDERICK GAIL, US;EBAY INC, US
1976;WO002020197640A1;GRAY DOUGLAS, US;EBAY INC, US
1977;WO002020197640A1;HEATH CONSTANZA, US;EBAY INC, US
1978;WO002020192948A1;ANDREINA SÉBASTIEN, DE;NEC LABORATORIES EUROPE GMBH, DE
1979;WO002020192948A1;KARAME GHASSAN, DE;NEC LABORATORIES EUROPE GMBH, DE
1980;WO002020192948A1;SFORZIN ALESSANDRO, DE;NEC LABORATORIES EUROPE GMBH, DE
1981;WO002020182234A2;CAO SHENGJIAO, CN;ALIBABA GROUP HOLDING LTD, CN
1982;WO002020182234A2;FANG HUI, CN;ALIBABA GROUP HOLDING LTD, CN
1983;WO002020182234A2;YUAN YUAN, CN;ALIBABA GROUP HOLDING LTD, CN
1984;WO002020182233A2;CAO SHENGJIAO, CN;ALIBABA GROUP HOLDING LTD, CN
1985;WO002020182233A2;FANG HUI, CN;ALIBABA GROUP HOLDING LTD, CN
1986;WO002020182233A2;YANG WEITAO, CN;ALIBABA GROUP HOLDING LTD, CN
1987;WO002020182233A2;YUAN YUAN, CN;ALIBABA GROUP HOLDING LTD, CN
1988;WO002020182232A2;CAO SHENGJIAO, CN;ALIBABA GROUP HOLDING LTD, CN
1989;WO002020182232A2;FANG HUI, CN;ALIBABA GROUP HOLDING LTD, CN
1990;WO002020182232A2;YUAN YUAN, CN;ALIBABA GROUP HOLDING LTD, CN
1991;WO002020176228A1;CIGNAVITCH GREGORY PHILIP, US;MICROSOFT TECHNOLOGY LICENSING LLC, US
1992;WO002020176228A1;GRAY JOHN MARLEY, US;MICROSOFT TECHNOLOGY LICENSING LLC, US
1993;WO002020176228A1;MADHURAM SUPRIYA, US;MICROSOFT TECHNOLOGY LICENSING LLC, US
1994;WO002020176228A1;PATEL NAYANA SINGH, US;MICROSOFT TECHNOLOGY LICENSING LLC, US
1995;WO002020144022A1;ROSCOE JONATHAN, GB;BRITISH TELECOMM, GB
1996;WO002020144021A1;ROSCOE JONATHAN, GB;BRITISH TELECOMM, GB
1997;WO002020143856A2;LI YIZE, CN;ALIPAY HANGZHOU INF TECH CO LTD, CN
1998;WO002020143856A2;YAN WENYUAN, CN;ALIPAY HANGZHOU INF TECH CO LTD, CN
1999;WO002020143856A2;YANG XINYING, CN;ALIPAY HANGZHOU INF TECH CO LTD, CN
2000;WO002020143856A2;YU BENQUAN, CN;ALIPAY HANGZHOU INF TECH CO LTD, CN
2001;WO002020143856A2;ZHANG YUAN, CN;ALIPAY HANGZHOU INF TECH CO LTD, CN
2002;WO002020143855A2;LI YIZE, CN;ALIPAY HANGZHOU INF TECH CO LTD, CN
2003;WO002020143855A2;YAN WENYUAN, CN;ALIPAY HANGZHOU INF TECH CO LTD, CN
2004;WO002020143855A2;YANG XINYING, CN;ALIPAY HANGZHOU INF TECH CO LTD, CN
2005;WO002020143855A2;YU BENQUAN, CN;ALIPAY HANGZHOU INF TECH CO LTD, CN
2006;WO002020143855A2;ZHANG YUAN, CN;ALIPAY HANGZHOU INF TECH CO LTD, CN
2007;WO002020143854A2;LI YIZE, CN;ALIPAY HANGZHOU INF TECH CO LTD, CN
2008;WO002020143854A2;YAN WENYUAN, CN;ALIPAY HANGZHOU INF TECH CO LTD, CN
