"		lfd. Nummer";Veroeffentlichungs-Nummer;Anmeldedatum;Erfinder;Anmelder/Inhaber;Titel;Zusammenfassung;Länderkürzel;Land;Prozessstand;Anmelderländerkürzel;Anmelderland
13;CN000108154419A;12.12.2017;LU YAPENG;LU YAPENG; [EN] E-commerce method based on blockchain technology;" [EN]  The invention discloses an e-commerce method based on a blockchain technology. According to the method, sellers, buyers and logistics companies are involved, each seller can build a website, the decentralization of websites is formed, the other websites cannot be chained when one website is attacked, all the seller websites and transaction products are searched for through special e-commerce search engines, and the buyers purchase goods and then pay digital currency to blockchain center wallets; the blockchain center wallets serve as intermediate guarantors with the similar functions of Alipay, and the digital currency is released to seller wallets after it is confirmed that the goods are received; the logistics companies achieve the function of logistics express transportation and do notget involved in the transaction and payment of the sellers and the buyers. According to the e-commerce method, through different search engines, different block center wallets and different logisticstransportation ...";CN;China;A;;#NV
14;CN000106920098A;07.03.2017;ZHANG YIFENG;ZHONGCHAO CREDITCARD IND DEV CO LTD BEIJING SMART CARD TECH RES INST; [EN] Digital ticket transaction supervision system and digital ticket transaction supervision method based on blockchain and digital currency;" [EN]  The invention discloses a digital ticket transaction supervision system and digital ticket transaction supervision method based on blockchain and digital currency. The digital ticket transaction supervision system comprises an identity management module which receives identity information that is input by a participating party of a digital ticket transaction, wherein the identity information comprises a participating party name, an institution number, an identity authentication public key and a privacy protecting public key, checks the identity information, and generates a corresponding contract management participating party account number after checking passing; an authority management module which sets participating party authority information in the identity contract; and a traction content supervision module which decodes plaintext content of all transactions in the blockchain according to the privacy protecting public key of the participating party, and realizing supervision ...";CN;China;A;;#NV
15;CN000106682884A;05.01.2017;DENG DI;TIANJIN MIYOU TECH CO LTD; [EN] Computing power transaction system and method based on blockchain; [EN]  The invention belongs to the technical field of blockchain and provides a computing power transaction method based on blockchain, comprising the steps of registering and loading information of a computing power provider to blockchain, equalizing computing powers to a computing currency, and registering and loading to the blockchain, wherein the computing powers include computing service, storage service, function services, and data resource services, and the computing currency refers to a digital currency acting as payment and buying media for various computing powers under the support of various computing services for data in an ecological system, such as collection, processing and storage. A computing power transaction system based on blockchain comprises a registering module and a computing currency generating module. By using the computing power transaction method and system based on blockchain and equalizing computing powers to a computing currency for transaction, transactions ...;CN;China;A;;#NV
16;DE202019101478U1;15.03.2019;;"Dyedovskyy, Serhiy, Cherkassy, v. Lozivok, UA; Shylenko, Oleksandr, Cherkassy, UA"; [DE] Automatisiertes Steuersystem einer Kette von aufeinanderfolgenden, miteinander verbundenen Transaktionen einer elektronischen Plattform für das Internet-Zahlungssystem; [DE]  Automatisiertes Steuersystem einer Kette von aufeinanderfolgenden, miteinander verbundenen Transaktionen einer elektronischen Plattform für das Internet-Zahlungssystem, das eine interaktive Website für den Verkauf von Waren und/oder Dienstleistungen enthält, die über eine externe Schnittstelle mit mindestens einem elektronischen Zahlungssystem und einer elektronischen Form verfügt, die in die Website für den Verkauf von Waren und/oder Dienstleistungen für den Datenaustausch über das Internet installiert ist, mit mindestens einem programmierbaren elektronischen Gerät, das mit elektronischen Datenaustauschmitteln über das Internet mit Hilfe einer elektronischen Form der interaktiven Website für den Verkauf von Waren und/oder Dienstleistungen und von einem elektronischen Mittel zum Durchführen und Speichern von Transaktionen mit mindestens einer Kryptowährung ausgestattet ist, mit Hilfe einer Gesamtheit elektronischer Identifikationsschlüssel des Absenders und des Empfängers in der ...;DE;Deutschland;U;UA;Ukraine
17;DE202018102306U1;04.04.2018;;BLACK GOLD COIN, INC., Nev., Las Vegas, US; [DE] Systeme zur persönlichen Identifizierung und Verifizierung;" [DE]  System zum Überwachen und Beschränken von Transaktionen mit Kryptographie-basiertem elektronischem Geld (CBEM), wobei das System umfasst:einen Systemprozessor (420 und/oder 707), der einSystemverwaltungsdienstprogramm ausführt, das zum Verarbeiten von Kunden-Identitätsregistrierungen, Kunden-Währungsadressen und CBEM-Transaktionen eingerichtet ist zum:- Kommunizieren mit einem Kunden-Wallet (416, 417), um eine oder mehrere genehmigte Währungsadressen des Kunden zu erzeugen;- Genehmigen einer Anfrage zur Erzeugung einer oder mehrerer genehmigter Währungsadressen des Kunden;- Kommunizieren mit dem Kunden-Wallet (416, 417), um eine oder mehrere genehmigte Transaktionen zu erzeugen;- Genehmigen einer oder mehrerer Transaktionen, um eine Einheit des CBEM an eine Währungsadresse zu senden;- Untersuchen einer Transaktion unter Verwendung von Transaktionskriterien, die von einem zentralen Leitungsorgan oder einem Kunden definiert werden; und- Speichern von Transaktionsinformationen (414) ...";DE;Deutschland;U;US;USA
18;DE202018002074U1;24.04.2018;;Black Gold Coin, Inc., Nev., Las Vegas, US; [DE] System zur sicheren Speicherung von elektronischem Material;" [DE]  System zum Bereitstellen einer sicheren Speicherung von elektronischem Material, das aufweist:einen Hardware-Prozessor (126), der dazu konfiguriert ist, eine Datei mit verständlichen elektronischen Informationen, die zu dem Benutzer gehören, zu empfangen und sicher zu speichern und nach Empfang der Datei mit elektronischen Informationen Fragmente (232, 314, 442) der Datei mit elektronischen Informationen zu bilden, die wenigstens ein erstes Fragment (#1) und ein zweites Fragment (#2) davon aufweisen;ein verteiltes Datenspeichersystem (234A, 316A, 444A), das mehrere Knoten zum Speichern von Informationsblöcken in einer ersten nicht flüchtigen Speichervorrichtung hat;eine zweite nicht flüchtige Speichervorrichtung (234B, 316B, 444B), die sich außerhalb des verteilten Datenspeichersystems befindet; undwobei der Prozessor des Weiteren dazu konfiguriert ist, wenigstens das erste Fragment (#1) der Datei in dem verteilten Datenspeichersystem (234A, 316A, 444A) zu speichern und wenigstens ...";DE;Deutschland;U;US;USA
19;DE202017006897U1;25.01.2017;;Black Gold Coin, Inc., Nev., Las Vegas, US; [DE] Systeme zum Bereitstellen einer universellen dezentralisierten Lösung für das Verifizieren von Benutzern mit Querverifikationsmerkmalen;" [DE]  System zum Bereitstellen einer universellen dezentralisierten Lösung für die Verifikation von Benutzern mit Querverifikationsmerkmalen, wobei das System umfasst:einen oder mehrere Hardwareprozessor/en, der bzw. die von maschinenlesbaren Anweisungen konfiguriert ist bzw. sind:von einer ersten Entität, an einem Blockchain-Trust-Dienstelement, Informationen zu empfangen, die sich auf ein oder mehrere verifizierte/s erste/s Dokument/e beziehen, wobei das eine bzw. die mehreren verifizierte/n erste/n Dokument/e einem ersten Benutzer zugeordnet ist bzw. sind;von einer zweiten Entität, an dem Blockchain-Trust-Dienstelement, eine Anforderung für die Informationen in Bezug auf das eine oder die mehreren verifizierte/n Dokument/e, das bzw. die dem ersten Benutzer zugeordnet ist bzw. sind, zu empfangen;bei Empfang von dem ersten Benutzer, an dem Blockchain-Trust-Dienstelement, einer Genehmigung der Anforderung für die Informationen in Bezug auf das eine oder die mehreren verifizierte/n Dokument/e, ...";DE;Deutschland;U;US;USA
20;DE202016008801U1;14.10.2016;;"Bhargava, Alok, MA, Newton, US; Cambridge Blockchain, LLC, MA, Cambridge, US"; [DE] Systeme zur Verwaltung digitaler Identitäten;" [DE]  Computersystem, umfassend:mindestens einen Prozessor; undmindestens ein computerlesbares Medium, auf dem mehrere Anweisungen gespeichert sind, die bei Ausführung den mindestens einen Prozessor dazu veranlassen:eine Anforderung zum Verifizieren mindestens einer Bestätigung für mindestens ein Attribut eines Identitätsinhabers zu empfangen, wobei:die mindestens eine Bestätigung zwischen mehreren Zuständen in einem Distributed-Ledger-System beweglich ist, wobei die mehreren Zustände einen VERIFIED-Zustand beinhalten, unddie mindestens eine Bestätigung einen kryptographischen Nachweist umfasst; einen Wert, der dem mindestens einen Attribut entspricht, zu empfangen; undzu bestimmen, ob der kryptographische Nachweis in der mindestens einen Bestätigung ein gültiger Nachweis für den empfangenen Wert ist, der dem mindestens einen Attribut entspricht;auf Grundlage von Informationen, die auf den Identitätsinhaber bezogen sind, den empfangenen Wert, der dem mindestens einen Attribut entspricht, ...";DE;Deutschland;U;US;USA
21;DE202015009601U1;27.03.2015;;Black Gold Coin, Inc., Nev., Las Vegas, US; [DE] System zur persönlichen Identifizierung und Verifizierung;" [DE]  System zur persönlichen Identifizierung und Verifizierung zum Überwachen und Beschränken von Transaktionen mit Kryptographie-basiertem elektronischem Geld (CBEM) (201), wobei das System umfasst:einen zentralen Genehmigungsserver (401), der dazu eingerichtet ist, Client-Identitätsregistierungen, Client-Währungsadressen und CBEM-Transaktionen zu verarbeiten, umfassend:- Kommunizieren (407) mit einem Client-Wallet (301), um eine oder mehrere vom Nutzer genehmigte Währungsadressen (313) bei Vorliegen von gültigen Anmeldeinformationen zur Verifizierung der persönlichen Identität (319) zu erzeugen;- Genehmigen einer Anfrage zum Erzeugen einer oder mehrerer vom Nutzer genehmigter Währungsadressen (313) bei Vorliegen von gültigen Anmeldeinformationen zur Verifizierung der Identität (212, 319);- Kommunizieren (409) mit dem Client-Wallet (301), um eine oder mehrere genehmigte Transaktionen zu erzeugen (311), um eine Einheit des CBEM an eine Währungsadresse bei Vorliegen von gültigen Anmeldeinformationen ...";DE;Deutschland;U;US;USA
22;DE202015009562U1;27.03.2015;;Black Gold Coin, Inc., Nev., Las Vegas, US; [DE] System zur persönlichen Identifizierung und Verifizierung;" [DE]  System zur persönlichen Identifizierung und Verifizierung für Transaktionen, die Kryptographie-basiertes elektronisches Geld beinhalten, wobei das System umfasst:einen zentralen Genehmigungsserver (401), der , um Client-Registrierungsanfragen, Client-Kryptowährungsadressen und Kryptowährungstransaktionen zu verarbeiten, eingerichtet ist zum:- Kommunizieren (407) mit einem Client-Wallet (301), um eine oder mehrere gültige Multisignatur-Währungsadressen (313) bei Vorliegen von gültigen Anmeldeinformationen zu erzeugen;- Bereitstellen (408) eines öffentlichen Genehmigungsschlüssels (405) an das Client-Wallet (301), um eine oder mehrere Multisignaturadressen (313) zu erzeugen;- Kommunizieren (409) mit dem Client-Wallet (301), um eine oder mehrere gültige Transaktionen (218, 219, 220, 221, 223) zu erzeugen, um bei Vorliegen von gültigen Anmeldeinformationen Einheiten von elektronischem Geld an eine oder mehrere Währungsadressen zu senden;- Bereitstellen (410) eines privaten Genehmigungsschlüssels ...";DE;Deutschland;U;US;USA
23;DE112018006407T5;13.12.2018;Nuzzi, Frank Anthony, CA, San Jose, US;PayPal, Inc., Calif., San Jose, US; [DE] BLOCKCHAIN-VALIDIERUNGSSYSTEM; [DE]  Die Blockchainvalidierung erfolgt durch den Empfang einer ersten Validierungsanforderung einer Blockchain. Ein Hash-Algorithmus wird auf einen ersten Block der Blockchain angewendet, um einen ersten Hash-Wert zu erzeugen. Als Antwort auf die erste Validierungsanforderung der Blockchain wird ein erstes Bild aus einer Vielzahl von Bildern auf einem Anzeigegerät bereitgestellt. Das erste Bild wird auf der Grundlage des ersten Hash-Wertes ausgewählt, um zur Anzeige auf dem Anzeigegerät bereitgestellt zu werden. Das erste Bild kann mit einem zweiten Bild verglichen werden, das vor der ersten Validierungsanforderung zur Anzeige auf der Anzeigevorrichtung bereitgestellt wurde, und dieses Bild wurde auf der Grundlage eines zweiten Hash-Wertes bereitgestellt, um zu bestimmen, ob das erste Bild und das zweite Bild im Wesentlichen ähnlich sind, was anzeigt, dass keine Änderungen an den Daten in der Blockchain vorgenommen wurden. ;DE;Deutschland;T;US;USA
24;DE112018004737T5;26.08.2018;"Karlen, Christopher Delton, MN, Woodbury, US; Tucker IV, Arthur Oliver, CA, Redondo Beach, US";Squint Systems Inc., DE, Lewes, US; [DE] ANONYMISIERUNGS-OVERLAY-NETZWERK FÜR DIE DEIDENTIFIZIERUNG VON PROXIMITY-EREIGNISDATEN;" [DE]  Eine Server-Computervorrichtung, die konfiguriert ist, um über ein Anonymisierungsnetzwerk und von einer ersten mobilen Computervorrichtung, die einen Standort aus einem Satz von Standorten der ersten mobilen Computervorrichtung bestimmt, eine Näherungsangabe zu empfangen, dass ein erster Benutzer innerhalb einer Schwellenentfernung eines Ereignisses ist dem ersten mobilen Computergerät zugeordnet ist, in der Nähe des Ereignisses; als Reaktion auf den Empfang einer Anzeige einer Überweisung für das Ereignis von einem zweiten Benutzer, Erzeugen einer Zuordnung zwischen der Überweisung und dem Ereignis; in Reaktion auf den Empfang von beschreibenden Daten, die das Ereignis beschreiben, Senden der beschreibenden Daten an ein zweites mobiles Computergerät des zweiten Benutzers; und als Antwort auf den Empfang eines Hinweises zur Freigabe der Überweisung eine Nachricht senden, die eine Transaktion ausführt, die mindestens einen Teil des Überweisungsbetrags auf ein Konto überträgt, das ...";DE;Deutschland;T;US;USA
25;DE112018002964T5;12.06.2018;"Fukuda, Nobuhiro, Osaka, Kadoma-shi, JP; Hinata, Makoto, Osaka, Kadoma-shi, JP; Kobayashi, Norihiko, Osaka, Kadoma-shi, JP; Lawrenson, Matthew John, Lausanne, CH; Nolan, Julian Charles, Lausanne, CH; Yano, Takanao, Osaka, Kadoma-shi, JP";Panasonic Intellectual Property Management Co., Ltd., Osaka, JP; [DE] System und Verfahren zum dynamischen Authentifizieren von Kartendaten unter Verwendung von Blockchains; [DE]  Geschaffen ist ein System und ein Verfahren zum Aktualisieren von Kartendaten für ein autonomes Fahrzeug (AF). Das Verfahren umfasst das Sammeln mit Hilfe eines oder einer Vielzahl von AF-Sensoren eines ersten AF von Sensordaten und das Vergleichen der gesammelten Sensordaten mit Kartendaten zum Bestimmen eines Vorhandenseins potentieller geänderter Daten. Das Verfahren umfasst weiterhin das Erzeugen eines Proof-of-Work-(PoW)-Blocks, der die potentiellen geänderten Daten enthält, und das Sammeln mit Hilfe eines oder einer Vielzahl von AF-Sensoren eines zweiten AF von ersten Verifikationssensordaten. Die potentiellen geänderten Daten werden dann mit den ersten Verifikationssensordaten verglichen, um einen ersten verifizierten Kartenblock auf Grundlage der ersten Verifikationssensordaten zu erzeugen und den ersten verifizierten Kartenblock zu einer ersten verifizierten Karten-Blockchain hinzuzufügen. ;DE;Deutschland;T;JP;Japan
26;DE112017006701T5;28.12.2017;"Anderson, Glen J., Oreg., Beaverton, US; Brady, John, Celbridge, KE, IE; Burns, Gregory, WA, Seattle, US; Cahill, Niall, Dublin, IE; Carboni, Davide, London, GB; Chukka, Ravikiran, OR, Portland, US; Davies, Richard, Dublin, IE; Deleeuw, William C., OR, Beaverton, US; Kelly, Mark, Leixlip KE Co, IE; Kohlenberg, Toby M., OR, Portland, US; Koning, Maarten, Ontario, Bloomfield, CA; Macieira, Thiago J., OR, Portland, US; Muttik, Igor, Buckinghamshire, Aylesbury, GB; Ni Scanaill, Cliodhna, Broadford, KE, IE; Nolan, Keith, Mullingar, IE; Nolan, Michael, Maynooth KE, IE; Poornachandran, Rajesh, Oreg., Portland, US; Ryan, Eugene, Dublin, IE; Smith, Ned M., Oreg., Beaverton, US; Wenus, Jakub, Maynooth , KE, IE; Zhang, Zheng, Oreg., Portland, US";Intel Corporation, Calif., Santa Clara, US; [DE] Internet der Dinge; [DE]  Das Internet kann dafür ausgelegt werden, einer großen Anzahl von Internet-der-Dinge(IoT)-Vorrichtungen Kommunikationen bereitzustellen. Vorrichtungen können dafür ausgelegt werden, den Bedarf an Netzschichten von zentralen Servern über Gateways bis hinab zu Edge-Vorrichtungen zu adressieren, ungehindert zu wachsen, angeschlossene Ressourcen zu entdecken und zugänglich zu machen und die Fähigkeit zu unterstützen, angeschlossene Ressourcen zu verbergen und aufzuteilen. Netzprotokolle können Teil des Gewebes sein, das von Menschen zugängliche Dienste unterstützt, die unabhängig vom Ort, von der Zeit oder vom Raum arbeiten. Innovationen können die Dienstauslieferung und die zugeordnete Infrastruktur in der Art von Hardware und Software umfassen. Dienste können entsprechend spezifizierten Dienstqualitäts(QoS)-Bedingungen bereitgestellt werden. Die Verwendung von IoT-Vorrichtungen und Netzen kann in ein heterogenes Verbindbarkeitsnetz, einschließlich festverdrahteter und drahtloser ...;DE;Deutschland;T;US;USA
27;DE112017005040T5;07.12.2017;"Brady, Simon, Dublin, IE; Bryllert, Jonas, Erik, Dublin, IE; Delaney, John, Dublin, IE; Hollywood, Barry, Dublin, IE; Zolotow, Clea, CO., Boulder, US";International Business Machines Corporation, N.Y., Armonk, US; [DE] Betriebssystem und Verfahren auf Container-Grundlage; [DE]  In einem verteilten Netzwerk, das einen gemeinsam genutzten Pool von konfigurierbaren Datenverarbeitungsressourcen hostet, werden eine oder mehrere Systeminstanzen einer Blockchain bereitgestellt. Jede Systeminstanz weist eine virtuelle Maschine und einen Satz von Containern auf. Die Container sind insofern Mitglieder der Blockchain, als das öffentliche Kontenbuch der Blockchain verschlüsselte Kopien von mindestens ausgewählten Verzeichnissen eines jeden Containers aufzeichnet. Somit kann jeder in dem Satz enthaltene Container verifizieren, ob jeder andere Container unter Bezugnahme auf das öffentliche Kontenbuch ebenfalls zu demselben Satz gehört, da die in dem öffentlichen Kontenbuch aufgezeichneten Transaktionen verschlüsselte Kopien der Container des Satzes sind. Die Verwendung einer Blockchain erlaubt somit, dass durch die ursprüngliche Spezifikation der Blockchain eine Systemgrenze um einen Satz von Containern herum definiert wird. Die Systemgrenze kann so definiert werden, ...;DE;Deutschland;T;US;USA
28;DE112017002263T5;14.04.2017;"Grawrock, David W., Oreg., Aloha, US; Smith, Ned M., Oreg., Beaverton, US";INTEL CORPORATION, Calif., Santa Clara, US; [DE] Infrastruktur mit öffentlichen Schlüssel unter Verwendung von Blockchains; [DE]  Techniken für die Umsetzung von Infrastruktur mit einem öffentlichen Schlüssel unter Verwendung von Blockchains sind beschrieben. Eine Vorrichtung kann einen Proof-of-Work von einem eingeführten Auftraggeber empfangen. Die Vorrichtung kann den Proof-of-Work mit einem Identifizierer des eingeführten Auftraggebers kombinieren. Die Vorrichtung kann eine Einführung des eingeführten Auftraggebers erzeugen. Die Einführung kann die Unterzeichnung der Kombination des Proof-of-Work und des Identifizierers des eingeführten Auftraggebers unter Verwendung eines asymmetrischen privaten Schlüssels, der der Vorrichtung zugewiesen ist, enthalten. Die Vorrichtung kann die Einführung des eingeführten Auftraggebers in einer Blockchain veröffentlichen. ;DE;Deutschland;T;US;USA
